"regexmatch","regexmatchLen","regexmatchLetterLen","regexmatchPipeLen","regexmatchLetterOverPipe","tfIdfSimilarity","treeSearchRank","nAND","nOR","nANDoverOR","topicID","rankOverTopicID","treeSearchProminence","heuristicAnswerScore","answerCorrectness"
% Q:  Ich kann nicht nach Brixen fahren, könnt ihr mir die Zeitschrift nach Schlanders schicken?
% A-ID: stella.11_FERNLEIHE.01_ALLGEMEIN.01_NichtInHH
% A: [03]Für solche Fälle bieten wir den Fernleihdienst an. Damit kannst Du Bücher und Artikel, die es in Südtirol nicht gibt bestellen. Auf <linkToPhrases>http://www.unibz.it/library/services/ill/index.html?LanguageID=DE|dieser</linkToPhrases> Seite findest Du Informationen zu den Lieferzeiten, den Leihfristen bei Büchern, etwaigen Kosten und das Online-Formular für Deine Bestellung. Um das Formular zu öffnen, gib einfach Deine Library Nummer und Dein Passwort für die Bibliothek ein.
"1","2062.0","48864.0","5989.0","8.157595993322204","0.05728062375398099","0.0","32.0","21.0","1.4545454545454546","12","0.0","1.0","2538.7439999999997","0"
% A-ID: stella.11_FERNLEIHE.01_ALLGEMEIN.30_Lieferung
% A: [03]Mit dem Fernleihedienst der Unibibliothek kann man sich die Dokumente nicht nach Hause schicken lassen. Du kannst aber auswählen, ob sie nach Bozen, Brixen oder Bruneck geliefert werden sollen.
"1","1289.0","23246.0","2797.0","8.308077197998571","0.24725102570174726","1.0","12.0","14.0","0.8","12","0.07692307692307693","0.5","1587.954","0"
% Q: ... Arbeitsplatz vorbestellen?
% A-ID: stella.01_KOMPLEX.02_BEREICHE.01_ARBEITSPLATZ.04a_Arbeitsplatz_WieReservieren
% A: [04]Man muss bei uns nur die Carrels reservieren. Wie viel es kostet und wie es funktioniert kannst Du auf <linkToPhrases>http://www.unibz.it/library/services/carrels/index.html?LanguageID=DE|dieser</linkToPhrases> Seite nachlesen oder Du fragst direkt am Infodesk.
"1","329.0","2809.0","435.0","6.442660550458716","0.055610200634702726","0.0","6.0","0.0","6.0","2","0.0","1.0","407.154","1"
